ACCNTNUM,ACCNTNAME,POLICYNUM,LOBNAME,INCEPTDATE,EXPIREDATE,POLICYTYPE,BLANPREAMT,BLANLIMAMT
A-183613-120,A-183613-120,A-183613-120,3,1/1/2023,12/31/2023,1,0,0
A-183567-74,A-183567-74,A-183567-74,3,1/1/2023,12/31/2023,1,0,0
A-183563-70,A-183563-70,A-183563-70,3,1/1/2023,12/31/2023,1,0,0
A-183619-126,A-183619-126,A-183619-126,3,1/1/2023,12/31/2023,1,0,0
A-183615-122,A-183615-122,A-183615-122,3,1/1/2023,12/31/2023,1,0,0
A-183614-121,A-183614-121,A-183614-121,3,1/1/2023,12/31/2023,1,0,0
A-183598-105,A-183598-105,A-183598-105,3,1/1/2023,12/31/2023,1,0,0
A-183579-86,A-183579-86,A-183579-86,3,1/1/2023,12/31/2023,1,0,0
A-183603-110,A-183603-110,A-183603-110,3,1/1/2023,12/31/2023,1,0,0
A-183565-72,A-183565-72,A-183565-72,3,1/1/2023,12/31/2023,1,0,0
A-183602-109,A-183602-109,A-183602-109,3,1/1/2023,12/31/2023,1,0,0
A-183599-106,A-183599-106,A-183599-106,3,1/1/2023,12/31/2023,1,0,0
A-183590-97,A-183590-97,A-183590-97,3,1/1/2023,12/31/2023,1,0,0
A-183620-127,A-183620-127,A-183620-127,3,1/1/2023,12/31/2023,1,0,0
A-183588-95,A-183588-95,A-183588-95,3,1/1/2023,12/31/2023,1,0,0
A-183561-68,A-183561-68,A-183561-68,3,1/1/2023,12/31/2023,1,0,0
A-183600-107,A-183600-107,A-183600-107,3,1/1/2023,12/31/2023,1,0,0
A-183601-108,A-183601-108,A-183601-108,3,1/1/2023,12/31/2023,1,0,0
A-183559-66,A-183559-66,A-183559-66,3,1/1/2023,12/31/2023,1,0,0
A-183578-85,A-183578-85,A-183578-85,3,1/1/2023,12/31/2023,1,0,0
A-183618-125,A-183618-125,A-183618-125,3,1/1/2023,12/31/2023,1,0,0
A-183604-111,A-183604-111,A-183604-111,3,1/1/2023,12/31/2023,1,0,0
A-183566-73,A-183566-73,A-183566-73,3,1/1/2023,12/31/2023,1,0,0
A-183568-75,A-183568-75,A-183568-75,3,1/1/2023,12/31/2023,1,0,0
A-183560-67,A-183560-67,A-183560-67,3,1/1/2023,12/31/2023,1,0,0
A-183571-78,A-183571-78,A-183571-78,3,1/1/2023,12/31/2023,1,0,0
A-183570-77,A-183570-77,A-183570-77,3,1/1/2023,12/31/2023,1,0,0
A-183562-69,A-183562-69,A-183562-69,3,1/1/2023,12/31/2023,1,0,0
A-183572-79,A-183572-79,A-183572-79,3,1/1/2023,12/31/2023,1,0,0
A-183576-83,A-183576-83,A-183576-83,3,1/1/2023,12/31/2023,1,0,0
A-183617-124,A-183617-124,A-183617-124,3,1/1/2023,12/31/2023,1,0,0
A-183573-80,A-183573-80,A-183573-80,3,1/1/2023,12/31/2023,1,0,0
A-183574-81,A-183574-81,A-183574-81,3,1/1/2023,12/31/2023,1,0,0
A-183580-87,A-183580-87,A-183580-87,3,1/1/2023,12/31/2023,1,0,0
A-183586-93,A-183586-93,A-183586-93,3,1/1/2023,12/31/2023,1,0,0
A-183564-71,A-183564-71,A-183564-71,3,1/1/2023,12/31/2023,1,0,0
A-183589-96,A-183589-96,A-183589-96,3,1/1/2023,12/31/2023,1,0,0
A-183596-103,A-183596-103,A-183596-103,3,1/1/2023,12/31/2023,1,0,0
A-183594-101,A-183594-101,A-183594-101,3,1/1/2023,12/31/2023,1,0,0
A-183575-82,A-183575-82,A-183575-82,3,1/1/2023,12/31/2023,1,0,0
A-183606-113,A-183606-113,A-183606-113,3,1/1/2023,12/31/2023,1,0,0
A-183605-112,A-183605-112,A-183605-112,3,1/1/2023,12/31/2023,1,0,0
A-183597-104,A-183597-104,A-183597-104,3,1/1/2023,12/31/2023,1,0,0
A-183591-98,A-183591-98,A-183591-98,3,1/1/2023,12/31/2023,1,0,0
A-183593-100,A-183593-100,A-183593-100,3,1/1/2023,12/31/2023,1,0,0
A-183582-89,A-183582-89,A-183582-89,3,1/1/2023,12/31/2023,1,0,0
A-183595-102,A-183595-102,A-183595-102,3,1/1/2023,12/31/2023,1,0,0
A-183584-91,A-183584-91,A-183584-91,3,1/1/2023,12/31/2023,1,0,0
A-183616-123,A-183616-123,A-183616-123,3,1/1/2023,12/31/2023,1,0,0
A-183607-114,A-183607-114,A-183607-114,3,1/1/2023,12/31/2023,1,0,0
A-183587-94,A-183587-94,A-183587-94,3,1/1/2023,12/31/2023,1,0,0
A-183608-115,A-183608-115,A-183608-115,3,1/1/2023,12/31/2023,1,0,0
A-183609-116,A-183609-116,A-183609-116,3,1/1/2023,12/31/2023,1,0,0
A-183583-90,A-183583-90,A-183583-90,3,1/1/2023,12/31/2023,1,0,0
A-183577-84,A-183577-84,A-183577-84,3,1/1/2023,12/31/2023,1,0,0
A-183585-92,A-183585-92,A-183585-92,3,1/1/2023,12/31/2023,1,0,0
A-183610-117,A-183610-117,A-183610-117,3,1/1/2023,12/31/2023,1,0,0
A-183592-99,A-183592-99,A-183592-99,3,1/1/2023,12/31/2023,1,0,0
A-183569-76,A-183569-76,A-183569-76,3,1/1/2023,12/31/2023,1,0,0
A-183581-88,A-183581-88,A-183581-88,3,1/1/2023,12/31/2023,1,0,0
A-183611-118,A-183611-118,A-183611-118,3,1/1/2023,12/31/2023,1,0,0
A-183612-119,A-183612-119,A-183612-119,3,1/1/2023,12/31/2023,1,0,0
A-183621-128,A-183621-128,A-183621-128,3,1/1/2023,12/31/2023,1,0,0
B-183613-120,B-183613-120,B-183613-120,3,1/1/2023,12/31/2023,1,0,0
B-183567-74,B-183567-74,B-183567-74,3,1/1/2023,12/31/2023,1,0,0
B-183615-122,B-183615-122,B-183615-122,3,1/1/2023,12/31/2023,1,0,0
B-183614-121,B-183614-121,B-183614-121,3,1/1/2023,12/31/2023,1,0,0
B-183598-105,B-183598-105,B-183598-105,3,1/1/2023,12/31/2023,1,0,0
B-183579-86,B-183579-86,B-183579-86,3,1/1/2023,12/31/2023,1,0,0
B-183603-110,B-183603-110,B-183603-110,3,1/1/2023,12/31/2023,1,0,0
B-183565-72,B-183565-72,B-183565-72,3,1/1/2023,12/31/2023,1,0,0
B-183602-109,B-183602-109,B-183602-109,3,1/1/2023,12/31/2023,1,0,0
B-183599-106,B-183599-106,B-183599-106,3,1/1/2023,12/31/2023,1,0,0
B-183590-97,B-183590-97,B-183590-97,3,1/1/2023,12/31/2023,1,0,0
B-183600-107,B-183600-107,B-183600-107,3,1/1/2023,12/31/2023,1,0,0
B-183601-108,B-183601-108,B-183601-108,3,1/1/2023,12/31/2023,1,0,0
B-183604-111,B-183604-111,B-183604-111,3,1/1/2023,12/31/2023,1,0,0
B-183568-75,B-183568-75,B-183568-75,3,1/1/2023,12/31/2023,1,0,0
B-183571-78,B-183571-78,B-183571-78,3,1/1/2023,12/31/2023,1,0,0
B-183570-77,B-183570-77,B-183570-77,3,1/1/2023,12/31/2023,1,0,0
B-183572-79,B-183572-79,B-183572-79,3,1/1/2023,12/31/2023,1,0,0
B-183589-96,B-183589-96,B-183589-96,3,1/1/2023,12/31/2023,1,0,0
B-183575-82,B-183575-82,B-183575-82,3,1/1/2023,12/31/2023,1,0,0
B-183606-113,B-183606-113,B-183606-113,3,1/1/2023,12/31/2023,1,0,0
B-183605-112,B-183605-112,B-183605-112,3,1/1/2023,12/31/2023,1,0,0
B-183591-98,B-183591-98,B-183591-98,3,1/1/2023,12/31/2023,1,0,0
B-183593-100,B-183593-100,B-183593-100,3,1/1/2023,12/31/2023,1,0,0
B-183616-123,B-183616-123,B-183616-123,3,1/1/2023,12/31/2023,1,0,0
B-183607-114,B-183607-114,B-183607-114,3,1/1/2023,12/31/2023,1,0,0
B-183608-115,B-183608-115,B-183608-115,3,1/1/2023,12/31/2023,1,0,0
B-183609-116,B-183609-116,B-183609-116,3,1/1/2023,12/31/2023,1,0,0
B-183610-117,B-183610-117,B-183610-117,3,1/1/2023,12/31/2023,1,0,0
B-183611-118,B-183611-118,B-183611-118,3,1/1/2023,12/31/2023,1,0,0
B-183612-119,B-183612-119,B-183612-119,3,1/1/2023,12/31/2023,1,0,0
B-183621-128,B-183621-128,B-183621-128,3,1/1/2023,12/31/2023,1,0,0
