ACCNTNUM,LOCNAME,LOCNUM,CNTRYSCHEME,CNTRYCODE,State,LocLat,LocLon,BLDGSCHEME,BLDGCLASS,OCCSCHEME,OCCTYPE,NUMSTORIES,YEARBUILT,FLOORAREA,SITELIMAMT,SITEDEDAMT,EQCV4VAL,EQCV4LIMIT,EQCV4DED,EQCV5VAL,EQCV5LIMIT,EQCV5DED,EQCV6VAL,EQCV6LIMIT,EQCV6DED,EQCV7VAL,EQCV7LIMIT,EQCV7DED
A-183613-120,A-183613-120,A-183613-120,ISO3A,USA,AR,35.052089,-92.536049,FIRE,6,ATC,23,0,12/31/9999,0,7902309,0,75915000,0,50000,0,0,0,400000,0,50000,0,0,0
A-183567-74,A-183567-74,A-183567-74,ISO3A,USA,AR,35.1077,-92.5351,FIRE,1,ATC,23,0,12/31/9999,0,686494,0,6609679,0,50000,0,0,0,20000,0,50000,0,0,0
A-183563-70,A-183563-70,A-183563-70,ISO3A,USA,AR,35.086803,-92.440529,FIRE,6,ATC,8,0,12/31/9999,0,1235133,0,3991050,0,50000,0,0,0,7937000,0,50000,0,0,0
A-183619-126,A-183619-126,A-183619-126,ISO3A,USA,AR,35.087339,-92.441376,FIRE,6,ATC,8,0,12/31/9999,0,913705,0,7773926,0,50000,0,0,0,1050000,0,50000,0,0,0
A-183615-122,A-183615-122,A-183615-122,ISO3A,USA,AR,35.074832,-92.323872,FIRE,6,ATC,39,0,12/31/9999,0,715360,0,6883449,0,50000,0,0,0,25000,0,50000,0,0,0
A-183614-121,A-183614-121,A-183614-121,ISO3A,USA,AR,35.045184,-92.526859,FIRE,6,ATC,39,0,12/31/9999,0,792133,0,7281867,0,50000,0,0,0,368000,0,50000,0,0,0
A-183598-105,A-183598-105,A-183598-105,ISO3A,USA,AR,35.059249,-92.441738,FIRE,6,ATC,39,0,12/31/9999,0,792133,0,7281867,0,50000,0,0,0,368000,0,50000,0,0,0
A-183579-86,A-183579-86,A-183579-86,ISO3A,USA,AR,35.069067,-92.430088,FIRE,1,ATC,6,0,12/31/9999,0,629758,0,1091770,0,50000,0,0,0,4990000,0,50000,0,0,0
A-183603-110,A-183603-110,A-183603-110,ISO3A,USA,AR,35.100223,-92.50532,FIRE,6,ATC,23,0,12/31/9999,0,620773,0,5985000,0,50000,0,0,0,10000,0,50000,0,0,0
A-183565-72,A-183565-72,A-183565-72,ISO3A,USA,AR,35.1077,-92.5351,FIRE,1,ATC,23,0,12/31/9999,0,267512,0,2313441,0,50000,0,0,0,270000,0,50000,0,0,0
A-183602-109,A-183602-109,A-183602-109,ISO3A,USA,AR,35.05248,-92.453172,FIRE,6,ATC,23,0,12/31/9999,0,582719,0,5617500,0,50000,0,0,0,10000,0,50000,0,0,0
A-183599-106,A-183599-106,A-183599-106,ISO3A,USA,AR,35.111015,-92.516961,FIRE,6,ATC,23,0,12/31/9999,0,281346,0,2692037,0,50000,0,0,0,25000,0,50000,0,0,0
A-183590-97,A-183590-97,A-183590-97,ISO3A,USA,AR,35.047298,-92.435157,FIRE,6,ATC,39,0,12/31/9999,0,451265,0,3990000,0,50000,0,0,0,368000,0,50000,0,0,0
A-183620-127,A-183620-127,A-183620-127,ISO3A,USA,AR,35.09022,-92.441547,FIRE,6,ATC,8,0,12/31/9999,0,424549,0,4095000,0,50000,0,0,0,5000,0,50000,0,0,0
A-183588-95,A-183588-95,A-183588-95,ISO3A,USA,AR,35.069067,-92.430088,FIRE,1,ATC,8,0,12/31/9999,0,268014,0,1623300,0,50000,0,0,0,965000,0,50000,0,0,0
A-183561-68,A-183561-68,A-183561-68,ISO3A,USA,AR,35.071598,-92.412786,FIRE,6,ATC,8,0,12/31/9999,0,272850,0,2625000,0,50000,0,0,0,10000,0,50000,0,0,0
